City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Edea,CM,3.8,10.13,73.4,100,20,3.36,thunderstorm
Snezhnogorsk,RU,69.19,33.25,14.0,92,20,2.24,few clouds
Cidreira,BR,-30.18,-50.21,66.97,81,0,19.84,clear sky
Zyryanka,RU,65.75,150.85,22.33,96,90,2.17,overcast clouds
Airai,TL,-8.93,125.41,80.31,41,60,4.94,broken clouds
Chulman,RU,56.85,124.91,23.02,89,9,7.94,clear sky
Sisimiut,GL,66.94,-53.67,39.13,85,100,47.96,light rain
Hohhot,CN,40.81,111.65,53.6,27,0,6.71,clear sky
Hay River,CA,60.82,-115.8,19.4,73,75,8.05,broken clouds
Katobu,ID,-4.94,122.53,93.69,39,44,3.98,scattered clouds
Beira,MZ,-19.84,34.84,72.14,77,71,4.88,broken clouds
Kindu,CD,-2.95,25.95,70.97,95,95,1.66,overcast clouds
Cabedelo,BR,-6.98,-34.83,73.4,88,20,8.05,few clouds
Columbia,US,34.0,-81.03,60.8,72,40,3.36,scattered clouds
High Prairie,CA,55.43,-116.49,18.54,88,0,5.01,clear sky
Salalah,OM,17.02,54.09,80.6,30,3,3.36,clear sky
Avera,US,33.19,-82.53,57.2,100,1,4.7,clear sky
San Quintin,MX,30.48,-115.95,71.33,71,89,14.05,overcast clouds
Lastoursville,GA,-0.81,12.73,71.94,95,100,1.74,light rain
Atbasar,KZ,51.8,68.33,43.38,55,37,15.14,scattered clouds
Venezuela,VE,8.0,-66.0,79.68,78,100,5.97,overcast clouds
Sura,RU,53.89,45.74,39.96,75,22,10.18,few clouds
Port Stanley,FK,-51.7,-57.85,41.0,80,33,9.17,scattered clouds
Anadyr,RU,64.75,177.48,30.2,86,99,6.71,overcast clouds
Nemuro,JP,43.32,145.57,64.4,42,75,5.82,broken clouds
Puerto Cabezas,NI,14.04,-83.39,77.47,90,84,8.48,broken clouds
Bar Harbor,US,44.39,-68.2,48.0,100,1,4.34,clear sky
Caraquet,CA,47.79,-64.94,32.0,81,1,5.73,mist
Kushiro,JP,42.98,144.37,60.8,59,40,12.75,scattered clouds
Zacualpan,MX,21.25,-105.17,82.4,88,40,4.61,scattered clouds
Plettenberg Bay,ZA,-34.05,23.37,60.04,71,100,1.05,overcast clouds
Santa Cruz Del Sur,CU,20.71,-78.0,76.55,89,100,16.28,light rain
Kandrian,PG,-6.22,149.55,82.44,74,100,5.5,overcast clouds
Luderitz,NA,-26.65,15.16,61.56,54,1,15.1,clear sky
Saint George,US,37.1,-113.58,69.8,14,1,4.7,clear sky
Chik,RU,54.99,82.43,33.8,64,67,11.18,broken clouds
Champerico,GT,14.3,-91.92,68.0,97,98,2.8,overcast clouds
Jizan,SA,17.33,42.67,80.6,74,0,2.26,clear sky
Orlik,RU,52.52,99.83,32.38,88,100,5.77,overcast clouds
Vao,NC,-22.67,167.48,71.87,79,36,15.61,scattered clouds
Awbari,LY,26.59,12.78,67.71,76,96,14.79,overcast clouds
Luleburgaz,TR,41.4,27.36,53.6,58,75,14.99,broken clouds
Flin Flon,CA,54.77,-101.86,23.18,96,38,5.95,scattered clouds
Sambava,MG,-14.27,50.17,77.79,64,12,12.24,few clouds
Nieves,PH,15.33,120.95,91.4,55,75,6.93,broken clouds
Kirakira,SB,-10.45,161.92,83.23,77,93,7.67,moderate rain
Cachira,CO,7.74,-73.05,57.67,87,100,1.43,light rain
Sablan,PH,16.49,120.5,79.97,78,12,5.21,few clouds
Kozhva,RU,65.11,57.05,29.1,97,100,5.08,overcast clouds
Dali,CN,25.7,100.18,63.43,78,98,3.0,overcast clouds
Bac Lieu,VN,9.29,105.72,85.59,69,95,4.45,overcast clouds
Aykhal,RU,66.0,111.5,15.8,92,90,6.71,light snow
Padang,ID,-0.95,100.35,87.06,56,22,5.23,few clouds
Cap Malheureux,MU,-19.98,57.61,79.0,63,1,7.0,clear sky
Skjervoy,NO,70.03,20.97,23.0,92,0,6.93,clear sky
Templemore,IE,52.79,-7.83,54.0,88,100,4.0,overcast clouds
Chaska,US,44.79,-93.6,30.99,58,20,3.36,few clouds
Nogent-Le-Rotrou,FR,48.33,1.0,41.0,93,91,4.7,mist
Marataizes,BR,-21.04,-40.82,71.01,80,100,11.05,overcast clouds
Ciro Marina,IT,39.37,17.13,62.47,67,12,13.76,few clouds
Llata,PE,-9.42,-76.78,48.78,73,100,1.95,overcast clouds
Piracuruca,BR,-3.93,-41.71,73.15,76,97,3.11,overcast clouds
Uige,AO,-7.61,15.06,67.26,96,99,1.52,overcast clouds
Oyama,JP,36.3,139.8,69.01,67,75,3.36,light rain
Talcahuano,CL,-36.72,-73.12,50.0,93,17,5.82,few clouds
Esso,RU,55.93,158.7,36.37,83,100,8.41,overcast clouds
Penne,IT,42.45,13.93,48.0,93,0,4.7,clear sky
Kyra,RU,49.58,111.98,47.79,50,50,3.98,scattered clouds
Monterey,US,36.25,-121.25,60.01,87,90,9.17,overcast clouds
Kibaya,TZ,-5.3,36.57,63.91,77,51,6.24,broken clouds
Isilkul,RU,54.91,71.27,39.43,66,100,17.34,overcast clouds
Dovhe,UA,48.37,23.28,41.68,86,83,3.27,broken clouds
Honningsvag,NO,70.98,25.97,37.4,86,75,2.24,broken clouds
Semey,KZ,50.41,80.23,33.8,74,0,4.47,clear sky
Korla,CN,41.76,86.15,62.78,27,0,2.19,clear sky
Redmond,US,47.67,-122.12,57.0,93,100,3.42,overcast clouds
Pitimbu,BR,-7.47,-34.81,73.4,88,20,8.05,few clouds
Nanortalik,GL,60.14,-45.24,38.89,90,98,2.89,overcast clouds
Port Macquarie,AU,-31.43,152.92,68.0,71,99,1.01,overcast clouds
Madona,LV,56.85,26.22,34.59,91,40,10.78,scattered clouds
Arrifes,PT,37.77,-25.7,64.4,63,40,19.46,scattered clouds
Askino,RU,56.09,56.58,49.73,79,100,16.42,overcast clouds
Le Pont-De-Claix,FR,45.12,5.71,36.0,95,19,3.62,few clouds
Hovd,MN,48.01,91.64,40.48,60,1,24.43,clear sky
Winnemucca,US,40.97,-117.74,51.8,34,1,3.36,clear sky
La Libertad,EC,-2.23,-80.9,69.66,85,92,11.39,overcast clouds
Foumban,CM,5.73,10.9,62.02,93,83,2.1,broken clouds
Mount Isa,AU,-20.73,139.5,102.2,11,55,5.82,broken clouds
Kefamenanu,ID,-9.45,124.48,92.88,27,10,13.04,clear sky
Batsfjord,NO,70.63,29.72,28.4,79,20,11.41,few clouds
Bodo,NO,67.28,14.4,26.6,79,27,6.93,scattered clouds
Kismayo,SO,-0.36,42.55,80.64,73,40,14.03,scattered clouds
Laguna,US,38.42,-121.42,72.0,59,1,4.16,clear sky
Beringovskiy,RU,63.05,179.32,35.58,81,37,5.91,scattered clouds
Orapa,BW,-21.28,25.37,79.65,22,0,3.49,clear sky
Namibe,AO,-15.2,12.15,66.63,83,0,1.86,clear sky
Tuatapere,NZ,-46.13,167.68,54.0,74,93,11.99,overcast clouds
Portland,US,45.52,-122.68,61.0,86,66,1.99,broken clouds
Sao Joao Da Barra,BR,-21.64,-41.05,71.19,78,83,13.8,broken clouds
Rurrenabaque,BO,-14.44,-67.53,72.21,93,97,2.28,overcast clouds
Kita,ML,13.03,-9.49,75.45,58,0,1.57,clear sky
Bairnsdale,AU,-37.83,147.62,62.01,64,13,5.99,few clouds
Itoman,JP,26.12,127.67,86.0,74,20,23.04,few clouds
Naryan-Mar,RU,67.67,53.09,27.68,96,64,3.91,broken clouds
Aryiropoulion,GR,39.83,22.3,55.99,54,20,5.82,few clouds
Sindou,BF,10.67,-5.17,72.97,87,63,3.53,broken clouds
Tambovka,RU,50.1,128.05,44.6,30,20,2.24,few clouds
Maraa,BR,-1.83,-65.37,72.95,96,81,0.43,broken clouds
Porto Torres,IT,40.84,8.4,48.99,100,0,3.36,fog
Turukhansk,RU,65.82,87.98,14.88,96,100,10.89,overcast clouds
Chabahar,IR,25.29,60.64,77.0,22,20,6.93,few clouds
Salinopolis,BR,-0.61,-47.36,78.42,83,29,9.75,scattered clouds
Chegutu,ZW,-18.13,30.14,69.28,33,28,3.51,scattered clouds
Tutoia,BR,-2.76,-42.27,79.81,80,34,15.97,scattered clouds
Tibati,CM,6.47,12.63,63.52,91,28,1.5,scattered clouds
Teknaf,BD,20.86,92.31,86.16,68,99,5.95,overcast clouds
Nurota,UZ,40.56,65.69,55.4,21,0,2.24,clear sky
Beirut,LB,33.89,35.49,71.6,37,0,5.82,clear sky
Varhaug,NO,58.61,5.65,37.4,86,75,4.7,light rain
Jasper,US,37.2,-94.35,42.01,89,100,3.0,overcast clouds
Antofagasta,CL,-23.65,-70.4,57.2,87,90,3.36,light intensity drizzle
Lahaina,US,20.88,-156.68,84.2,62,1,5.82,clear sky
Kapit,MY,2.02,112.93,86.18,73,36,3.42,scattered clouds
Port Lavaca,US,28.61,-96.63,80.01,83,1,6.93,clear sky
Asyut,EG,27.18,31.18,66.2,72,0,11.41,clear sky
Blagoyevo,RU,63.37,47.92,30.78,97,96,6.55,overcast clouds
Banff,CA,51.18,-115.57,17.01,91,100,7.0,overcast clouds
Daura,NG,11.55,11.41,75.16,59,0,4.0,clear sky
Narrabri,AU,-30.32,149.78,75.2,41,15,8.05,few clouds
Sao Francisco,BR,-15.95,-44.86,73.33,68,100,4.72,moderate rain
Pascagoula,US,30.37,-88.56,64.99,88,1,7.61,mist
Ust-Maya,RU,60.42,134.53,20.79,90,95,5.77,overcast clouds
Sobolevo,RU,54.43,31.9,33.89,93,35,9.78,scattered clouds
Kendari,ID,-3.94,122.5,87.57,50,78,6.93,broken clouds
El Roble,CO,9.1,-75.2,75.63,90,100,5.44,overcast clouds
Ambon,ID,-3.7,128.18,89.6,55,20,6.93,few clouds
Zaysan,KZ,47.47,84.87,44.49,43,24,12.91,few clouds
Waipawa,NZ,-41.41,175.52,60.8,93,97,31.09,heavy intensity rain
Kirkland Lake,CA,48.14,-80.04,33.8,99,20,2.24,few clouds
Abha,SA,18.22,42.51,55.4,32,0,6.93,clear sky
Baturaja,ID,-4.13,104.17,91.09,51,75,4.21,light rain
Chima,IN,30.69,76.09,82.4,51,0,5.46,haze
Campbell River,CA,50.02,-125.24,48.2,100,90,3.36,fog
Vani,GE,42.08,42.52,57.2,87,40,4.7,scattered clouds
Havelock,US,34.88,-76.9,63.0,95,51,7.07,broken clouds
Andenes,NO,69.31,16.12,30.2,86,2,4.7,clear sky
Palembang,ID,-2.92,104.75,87.8,70,40,5.82,scattered clouds
Benghazi,LY,32.12,20.07,71.78,74,100,17.13,overcast clouds
Rivadavia,AR,-33.19,-68.46,77.0,27,0,9.17,clear sky
Messina,IT,38.19,15.55,63.0,67,20,4.7,few clouds
Fallon,US,39.47,-118.78,61.0,26,1,3.36,clear sky
Rudnogorsk,RU,57.26,103.75,31.44,91,99,13.04,overcast clouds
Marsh Harbour,BS,26.54,-77.06,81.3,76,97,19.35,overcast clouds
Kalmunai,LK,7.42,81.82,87.37,55,91,3.91,overcast clouds
Rundu,NA,-17.93,19.77,66.88,24,0,4.61,clear sky
Lubao,PH,14.92,120.55,91.4,55,75,6.93,broken clouds
Mazagao,BR,-0.12,-51.29,80.6,88,40,3.36,scattered clouds
Morros,BR,-9.45,-46.3,80.87,39,90,3.98,overcast clouds
Portales,US,34.19,-103.33,41.0,80,1,12.75,clear sky
Carutapera,BR,-1.2,-46.02,77.04,84,27,5.93,scattered clouds
Lajas,PR,18.05,-67.06,77.0,74,34,1.99,scattered clouds
Boa Vista,BR,2.82,-60.67,82.4,65,41,6.93,scattered clouds
Viedma,AR,-40.81,-63.0,62.01,20,0,8.01,clear sky
Olafsvik,IS,64.89,-23.71,41.09,75,17,28.83,few clouds
Sholokhove,UA,47.69,34.03,49.05,68,14,6.76,few clouds
Buala,SB,-8.14,159.59,84.78,70,43,4.54,light rain
Taoudenni,ML,22.68,-3.98,74.91,19,0,4.18,clear sky
Chama,CH,47.18,8.46,41.0,100,27,1.97,scattered clouds
Huzhou,CN,30.87,120.09,73.0,63,92,1.19,overcast clouds
Tarko-Sale,RU,64.92,77.78,25.9,96,57,14.09,broken clouds
Trinidad,BO,-14.83,-64.9,79.88,53,8,3.31,clear sky
Margate,GB,51.38,1.39,51.01,66,100,12.5,overcast clouds
Waingapu,ID,-9.66,120.26,87.98,59,9,13.91,moderate rain
Trairi,BR,-3.28,-39.27,80.11,77,87,14.99,light rain
Liuhe,CN,42.24,125.72,61.41,34,0,11.7,clear sky
Tongliao,CN,43.61,122.27,65.32,26,0,10.47,clear sky
Yulara,AU,-25.24,130.99,75.2,64,75,14.99,broken clouds
Albacete,ES,38.83,-2.0,51.01,48,1,3.0,clear sky
Bozova,TR,37.36,38.53,64.4,36,5,1.5,clear sky
Ushtobe,KZ,45.25,77.98,57.54,36,0,10.94,clear sky
Parnarama,BR,-5.68,-43.09,79.45,63,98,5.1,overcast clouds
Tecoanapa,MX,16.52,-98.75,80.96,79,98,6.17,overcast clouds
La Asuncion,VE,11.03,-63.86,80.22,85,5,8.23,clear sky
Jiangyou,CN,31.77,104.72,65.25,65,95,5.86,overcast clouds
Pine Bluff,US,34.23,-92.0,71.01,77,75,8.05,broken clouds
Hami,CN,42.8,93.45,61.27,27,30,6.58,scattered clouds
Roald,NO,62.58,6.13,37.4,86,96,5.82,light rain
Termiz,UZ,37.22,67.28,57.2,47,0,4.7,clear sky
Khash,IR,28.22,61.22,64.94,22,0,8.21,clear sky
Lasa,IT,46.62,10.7,37.99,72,36,3.36,scattered clouds
Shimoda,JP,34.67,138.95,64.4,59,75,18.34,light rain
Linhai,CN,28.85,121.12,64.11,74,99,3.85,overcast clouds
Dese,ET,11.13,39.63,55.17,68,0,1.16,clear sky
Taltal,CL,-25.4,-70.48,56.44,75,40,1.99,scattered clouds
Shiyan,CN,32.65,110.78,66.99,19,50,4.0,light rain
Tokmak,UA,47.25,35.71,54.88,62,100,9.15,overcast clouds
Sola,VU,-13.88,167.55,82.4,83,90,19.37,overcast clouds
Hays,US,30.05,-98.03,75.99,86,0,1.01,clear sky
Severo-Yeniseyskiy,RU,60.37,93.04,23.47,93,100,15.9,light snow
Lumphat,KH,13.49,106.98,79.68,90,100,2.42,overcast clouds
Bath,GB,51.38,-2.36,48.0,89,97,5.82,overcast clouds
Arinos,BR,-15.92,-46.11,72.46,82,100,4.05,light rain
Nador,MA,35.17,-2.93,68.0,82,75,4.7,broken clouds
Atar,MR,20.52,-13.05,83.28,30,13,8.08,few clouds
Nome,US,64.5,-165.41,39.2,93,90,13.87,overcast clouds
Mbigou,GA,-1.9,11.91,69.57,98,100,2.17,overcast clouds
Sabha,LY,27.04,14.43,68.04,77,61,4.63,broken clouds
Limbazi,LV,57.51,24.72,35.01,95,90,8.01,light rain
Kongoussi,BF,13.33,-1.53,82.89,46,22,7.36,few clouds
Manicore,BR,-5.81,-61.3,74.12,96,100,1.48,heavy intensity rain
Ayna,PE,-12.65,-73.92,59.63,78,70,0.94,broken clouds
Port-Gentil,GA,-0.72,8.78,78.12,88,99,15.43,moderate rain
Muisne,EC,0.6,-80.03,73.81,88,100,13.8,overcast clouds
Pangnirtung,CA,66.15,-65.71,32.77,94,100,16.6,overcast clouds
Lodja,CD,-3.48,23.43,70.97,96,88,2.15,overcast clouds
Suleja,NG,9.18,7.18,73.4,94,27,3.36,scattered clouds
Chateauroux,FR,46.82,1.7,39.2,93,88,6.93,overcast clouds
Brae,GB,60.4,-1.35,44.6,87,100,16.11,light rain
San Ramon,US,37.78,-121.98,69.01,63,1,3.31,clear sky
Itupiranga,BR,-5.13,-49.33,78.8,94,37,3.36,scattered clouds
Aksay,RU,47.26,39.87,51.8,66,99,6.71,overcast clouds
Lazaro Cardenas,MX,17.96,-102.2,79.21,88,100,3.29,overcast clouds
Verkhoyansk,RU,67.54,133.38,17.26,94,99,6.22,overcast clouds
Miles City,US,46.41,-105.84,26.6,86,90,9.17,mist
Haapiti,PF,-17.57,-149.87,84.0,78,20,13.87,few clouds
Rio Verde De Mato Grosso,BR,-18.92,-54.84,73.38,81,100,8.55,overcast clouds
Chunhuhub,MX,19.55,-88.68,72.19,99,3,2.28,clear sky
Rheinau,DE,48.87,8.2,48.0,93,40,4.7,scattered clouds
Sumenep,ID,-7.02,113.87,84.61,57,100,2.3,overcast clouds
Yaizu,JP,34.87,138.33,59.0,87,90,5.82,light rain
Minudasht,IR,37.23,55.37,60.8,48,0,1.32,clear sky
Qaqortoq,GL,60.72,-46.03,41.0,80,100,6.93,light intensity shower rain
Gwadar,PK,25.12,62.33,82.47,24,2,15.82,clear sky
Patacamaya,BO,-17.23,-67.92,45.01,73,71,2.15,broken clouds
Nha Trang,VN,12.25,109.18,87.8,79,40,5.82,scattered clouds
Deputatskiy,RU,69.3,139.9,11.34,95,100,6.51,overcast clouds
Natal,BR,-5.79,-35.21,75.2,83,40,5.82,scattered clouds
Koulikoro,ML,14.0,-7.75,77.41,26,28,5.66,scattered clouds
Necochea,AR,-38.55,-58.74,57.0,83,86,4.0,overcast clouds
Mangan,IN,27.52,88.53,82.78,37,56,5.88,light rain
Attock,PK,33.77,72.36,73.4,40,0,6.93,haze
Rock Sound,BS,24.9,-76.2,81.57,77,100,22.88,overcast clouds
Hereford,GB,52.06,-2.71,45.0,96,97,5.79,overcast clouds
Muravlenko,RU,63.79,74.52,26.35,97,45,11.48,scattered clouds
Casablanca,MA,33.59,-7.62,60.8,67,86,3.36,overcast clouds
Zhezkazgan,KZ,47.8,67.71,49.78,47,0,8.03,clear sky
Ovre Ardal,NO,61.32,7.8,30.2,86,40,10.29,scattered clouds
Kavaratti,IN,10.57,72.64,84.2,74,20,5.82,few clouds
Menongue,AO,-14.66,17.69,65.46,28,0,2.59,clear sky
Yumen,CN,40.28,97.2,57.87,28,100,27.6,overcast clouds
Cherskiy,RU,68.75,161.3,21.04,94,82,7.11,broken clouds
Wonthaggi,AU,-38.6,145.59,61.0,75,51,8.84,broken clouds
Aitape,PG,-3.14,142.35,84.9,71,100,6.31,light rain
Tefe,BR,-3.35,-64.71,72.91,97,79,1.7,moderate rain
Mayo,US,38.89,-76.51,60.8,82,1,5.82,clear sky
Bitung,ID,1.45,125.18,91.4,46,40,10.29,scattered clouds
El Alto,PE,-4.27,-81.21,63.39,87,58,14.74,broken clouds
Endicott,US,42.1,-76.05,54.0,66,75,6.93,broken clouds
Mattru,SL,7.62,-11.83,73.24,98,100,1.25,overcast clouds
Vangaindrano,MG,-23.35,47.6,72.36,80,96,6.06,overcast clouds
Charters Towers,AU,-20.1,146.27,94.57,16,0,7.4,clear sky
Svetlaya,RU,46.54,138.33,48.27,46,58,5.84,broken clouds
Egvekinot,RU,66.32,-179.17,24.13,87,0,0.78,clear sky
Komsomolskiy,UZ,40.43,71.72,62.6,33,0,4.7,clear sky
Genhe,CN,50.78,121.52,45.34,58,56,7.67,broken clouds
Zhigalovo,RU,54.81,105.16,34.41,86,100,10.85,overcast clouds
Novyy Urengoy,RU,66.08,76.63,23.34,95,11,10.13,few clouds
Umuarama,BR,-23.77,-53.33,70.25,75,13,7.76,few clouds
Kiunga,PG,-6.12,141.29,88.5,64,100,2.17,light rain
Port Lincoln,AU,-34.73,135.87,59.85,59,2,9.62,clear sky
Solenzo,BF,12.18,-4.08,78.69,65,49,2.98,scattered clouds
Svetlyy,RU,54.67,20.13,48.0,80,51,11.18,broken clouds
Karratha,AU,-20.74,116.85,86.77,31,0,18.21,clear sky
Zhigansk,RU,66.77,123.37,12.58,91,56,7.23,broken clouds
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,53.6,54,40,8.95,scattered clouds
Yurimaguas,PE,-5.9,-76.08,75.34,75,24,1.16,few clouds
Mizdah,LY,31.45,12.98,52.11,80,0,4.38,clear sky
Khandyga,RU,62.67,135.6,19.15,92,100,2.8,overcast clouds
Damietta,EG,31.42,31.81,77.0,78,20,5.82,few clouds
Makinsk,KZ,52.63,70.42,40.44,60,75,17.22,broken clouds
Los Llanos De Aridane,ES,28.66,-17.92,73.4,88,80,9.17,broken clouds
Amapa,BR,1.0,-52.0,71.29,95,45,2.04,scattered clouds
Myitkyina,MM,25.38,97.4,81.1,69,92,4.54,overcast clouds
Zhob,PK,31.34,69.45,68.65,17,0,3.58,clear sky
Acari,PE,-15.43,-74.62,61.27,70,37,1.48,scattered clouds
Almaznyy,RU,48.04,40.05,51.8,66,100,6.71,overcast clouds
Maxixe,MZ,-23.86,35.35,74.08,66,0,6.08,clear sky
Cumpas,MX,29.98,-109.78,70.72,23,26,3.18,scattered clouds
San Cristobal,VE,7.77,-72.22,66.13,81,93,2.28,overcast clouds
Kikwit,CD,-5.04,18.82,72.25,93,100,1.41,overcast clouds
Tucupita,VE,9.06,-62.05,73.31,92,0,2.55,clear sky
Parabel,RU,58.7,81.48,33.46,86,97,12.12,overcast clouds
Jeremie,HT,18.65,-74.12,79.11,75,94,3.51,heavy intensity rain
Hudiksvall,SE,61.73,17.1,32.74,87,76,14.29,broken clouds
Yar-Sale,RU,66.83,70.83,22.28,96,0,7.74,clear sky
Mansfield,GB,53.13,-1.2,46.99,93,63,7.45,broken clouds
Nhamunda,BR,-2.19,-56.71,78.19,62,68,1.9,broken clouds
Sur,OM,22.57,59.53,85.98,35,17,20.24,few clouds
Paraiso,CR,9.84,-83.87,68.0,100,20,3.36,few clouds
Sao Jose Dos Pinhais,BR,-25.53,-49.21,59.0,87,90,2.24,overcast clouds
Koslan,RU,63.46,48.9,30.49,97,99,7.74,overcast clouds
